,Dates,Close
0,2022-08-26 16:20:00,99.6
1,2022-08-29 16:20:00,98.06
2,2022-08-30 16:20:00,97.75
3,2022-08-31 16:20:00,97.75
4,2022-09-01 16:20:00,97.23
5,2022-09-02 16:20:00,97.4
6,2022-09-05 16:20:00,97.36
7,2022-09-06 16:20:00,97.07
8,2022-09-07 16:20:00,97.06
9,2022-09-08 16:20:00,97.06
10,2022-09-09 16:20:00,97.21
11,2022-09-12 16:20:00,97.64
12,2022-09-13 16:20:00,96.54
13,2022-09-14 16:20:00,96.03
14,2022-09-15 16:20:00,95.25
15,2022-09-16 16:20:00,94.06
16,2022-09-19 16:20:00,94.06
17,2022-09-20 16:20:00,94.06
18,2022-09-21 16:20:00,94.06
19,2022-09-22 16:20:00,92.9
20,2022-09-23 16:20:00,92.24
21,2022-09-26 16:20:00,92.24
22,2022-09-27 16:20:00,92.24
23,2022-09-28 16:20:00,90.49
24,2022-09-29 16:20:00,89.89
25,2022-09-30 16:20:00,89.89
26,2022-10-03 16:20:00,89.72
27,2022-10-04 16:20:00,91.44
28,2022-10-05 16:20:00,88.25
29,2022-10-06 16:20:00,87.93
30,2022-10-07 16:20:00,87.34
31,2022-10-10 16:20:00,87.34
32,2022-10-11 16:20:00,86.89
33,2022-10-12 15:40:00,86.4
34,2022-10-12 16:15:00,86.4
35,2022-10-13 16:20:00,85.47
36,2022-10-14 16:20:00,85.47
37,2022-10-17 16:20:00,85.66
38,2022-10-18 16:20:00,86.87
39,2022-10-19 16:20:00,86.87
40,2022-10-20 15:05:00,87.05
41,2022-10-20 16:15:00,87.05
42,2022-10-21 16:20:00,87.03
43,2022-10-24 16:20:00,87.08
44,2022-10-25 16:20:00,87.64
45,2022-10-26 16:20:00,87.64
46,2022-10-27 16:20:00,86.14
